#OTU ID	PHB3.MID46-48.P1.apr13_ncdenovo	S1HB3.MID102-102.P1.nov13_ncdenovo	S1HB3.MID109-109.P3.jan14_ncdenovo	S1HB3.MID96-96.P1.dec13_ncdenovo	S1HB3.MID110-110.P1.jan14_ncdenovo	S1HB3.MID110-110.P1.jan14_otuclust	S1HB3.MID96-96.P1.dec13_otuclust	S1HB3.MID102-102.P1.nov13_otuclust	S1HB3.MID109-109.P3.jan14_otuclust	PHB3.MID46-48.P1.apr13_otuclust	S1HB3.MID109-109.P3.jan14_ncref	S1HB3.MID96-96.P1.dec13_ncref	S1HB3.MID110-110.P1.jan14_ncref	S1HB3.MID102-102.P1.nov13_ncref	PHB3.MID46-48.P1.apr13_ncref	S1HB3.MID110-110.P1.jan14	S1HB3.MID109-109.P3.jan14	PHB3.MID46-48.P1.apr13	S1HB3.MID102-102.P1.nov13	S1HB3.MID96-96.P1.dec13
M01896:2:000000000-A69JN:1:2109:16611:14954	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:1109:23179:9208	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	2	0
M01896:2:000000000-A69JN:1:1103:6399:12284	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:1104:14516:21621	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:1116:26623:13903	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
M01896:2:000000000-A69JN:1:1106:2993:15005	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
M01896:2:000000000-A69JN:1:1108:16553:5099	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	13	1
M01896:2:000000000-A69JN:1:2110:24583:2447	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:2117:24617:7650	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	3	1
M01896:2:000000000-A69JN:1:1106:27650:14997	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	4	6	13	23	2
M01896:2:000000000-A69JN:1:1108:8012:3372	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:15:000000000-A7EN9:1:2106:9466:18683	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	5	2
M01896:2:000000000-A69JN:1:1111:5414:20148	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	6	8	0	8	8
M01896:14:000000000-A7ERE:1:2107:24795:14989	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
M01896:15:000000000-A7EN9:1:2101:14442:11430	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
M01896:14:000000000-A7ERE:1:1114:21530:3878	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
M00595:54:000000000-A7CT0:1:2111:20242:19639	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M01896:14:000000000-A7ERE:1:1108:28353:9951	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	3	6	2	9	7
M00595:54:000000000-A7CT0:1:2115:12373:15144	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	3	1	1	3	3
M01896:14:000000000-A7ERE:1:2110:9054:4192	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
M01896:15:000000000-A7EN9:1:2103:19455:9443	0	0	0	0	3	0	0	0	0	0	0	2	3	0	0	1	0	0	0	3
M01896:14:000000000-A7ERE:1:2118:4071:8336	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0
M01896:15:000000000-A7EN9:1:1101:15343:7295	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	4	1	0	15	0
M01896:15:000000000-A7EN9:1:1101:6380:6336	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	6	0	0	5	2
M01896:15:000000000-A7EN9:1:2103:11598:21453	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0
M01896:15:000000000-A7EN9:1:2106:15791:19988	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
M01896:2:000000000-A69JN:1:2113:9086:23112	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	2
M01896:2:000000000-A69JN:1:1116:25884:5612	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	1	3	1	7	0
M01896:15:000000000-A7EN9:1:2110:25099:20143	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	1	0
M01896:15:000000000-A7EN9:1:1104:23481:5486	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	6	3	2	0
M01896:14:000000000-A7ERE:1:1108:19336:19168	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	2	1
M01896:14:000000000-A7ERE:1:2116:14825:17273	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0
M00595:54:000000000-A7CT0:1:1109:21265:23447	0	0	0	0	0	0	0	0	0	0	2	5	0	2	0	4	11	2	17	7
M01896:15:000000000-A7EN9:1:2117:22902:15662	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0
M01896:15:000000000-A7EN9:1:1116:2974:10929	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	6	0	9	1
M01896:14:000000000-A7ERE:1:1105:13821:4900	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
M01896:15:000000000-A7EN9:1:1107:25564:21582	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2
M01896:14:000000000-A7ERE:1:2111:3577:17785	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0
M01896:2:000000000-A69JN:1:1101:26656:12599	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	13	5
M00595:54:000000000-A7CT0:1:2102:18420:16943	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M01896:15:000000000-A7EN9:1:1111:12936:3763	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	1	3
M00595:54:000000000-A7CT0:1:1108:16182:16060	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2
M00595:54:000000000-A7CT0:1:1110:21561:16142	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	3	2	5	6
M00595:54:000000000-A7CT0:1:1104:12227:20687	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	4	3
M00595:54:000000000-A7CT0:1:1106:22948:22687	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M00595:54:000000000-A7CT0:1:2106:18067:15346	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	4
M00595:54:000000000-A7CT0:1:1112:4770:9215	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2
M00595:54:000000000-A7CT0:1:2110:12641:4255	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	2
M00595:54:000000000-A7CT0:1:1111:13141:21497	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M01896:2:000000000-A69JN:1:2112:16225:15844	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	6	0	5	10
