#OTU ID	PDD2.MID47-47.P2.apr13_ncdenovo	S1DD2.MID103-103.P2.nov13_ncdenovo	S1DD2.MID110-110.P4.jan14_ncdenovo	S1DD2.MID109-109.P2.jan14_ncdenovo	S1DD2.MID97-97.P2.dec13_ncdenovo	S1DD2.MID103-103.P2.nov13_otuclust	S1DD2.MID109-109.P2.jan14_otuclust	S1DD2.MID97-97.P2.dec13_otuclust	S1DD2.MID110-110.P4.jan14_otuclust	PDD2.MID47-47.P2.apr13_otuclust	S1DD2.MID110-110.P4.jan14_ncref	S1DD2.MID103-103.P2.nov13_ncref	S1DD2.MID97-97.P2.dec13_ncref	PDD2.MID47-47.P2.apr13_ncref	S1DD2.MID109-109.P2.jan14_ncref	S1DD2.MID109-109.P2.jan14	S1DD2.MID110-110.P4.jan14	PDD2.MID47-47.P2.apr13	S1DD2.MID97-97.P2.dec13	S1DD2.MID103-103.P2.nov13
M00595:42:000000000-A5J1T:1:1113:9815:12577	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2112:13400:9196	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	7	1	2
M00595:42:000000000-A5J1T:1:1107:18243:21964	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2116:17595:2713	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	11	20	0	11
M00595:42:000000000-A5J1T:1:2110:22091:20816	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	3	9	0	1
M01896:2:000000000-A69JN:1:1102:9480:8766	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	9	0	2
M00595:42:000000000-A5J1T:1:1115:5897:14962	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2108:11679:12128	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M01896:15:000000000-A7EN9:1:2114:14513:3033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
M01896:15:000000000-A7EN9:1:2102:4863:10843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	3	0	3
M01896:15:000000000-A7EN9:1:1103:19604:15724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
