#OTU ID	S1HB3xDD2.MID109-109.P4.jan14_ncdenovo	S1HB3xDD2.MID110-110.P2.jan14_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_ncdenovo	S1HB3xDD2.MID104-104.P2.nov13_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_otuclust	S1HB3xDD2.MID104-104.P2.nov13_otuclust	S1HB3xDD2.MID110-110.P2.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13_ncref	S1HB3xDD2.MID98-98.P2.dec13_ncref	S1HB3xDD2.MID110-110.P2.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13	S1HB3xDD2.MID109-109.P4.jan14	S1HB3xDD2.MID98-98.P2.dec13	S1HB3xDD2.MID110-110.P2.jan14	PDD2xHB3.MID47-48.P2.apr13_ncdenovo	PDD2xHB3.MID47-48.P2.apr13_otuclust	PDD2xHB3.MID47-48.P2.apr13_ncref	PDD2xHB3.MID47-48.P2.apr13
M00595:54:000000000-A7CT0:1:2101:12683:9582	0	0	2	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1
M00595:54:000000000-A7CT0:1:2108:17232:4192	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
M01896:2:000000000-A69JN:1:2102:12531:3881	0	0	2	0	0	0	0	0	0	0	0	0	6	3	3	3	0	0	0	4
M00595:54:000000000-A7CT0:1:1119:20997:23111	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
M00595:54:000000000-A7CT0:1:2103:24399:13825	0	0	2	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0
M00595:42:000000000-A5J1T:1:1117:22207:8970	0	0	2	0	1	0	0	0	0	0	2	0	3	4	4	0	5	1	5	8
M00595:54:000000000-A7CT0:1:1113:16567:17811	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
M00595:54:000000000-A7CT0:1:2103:19304:22809	0	0	2	0	1	0	1	0	0	0	0	2	3	3	3	3	0	0	0	3
M01896:2:000000000-A69JN:1:2118:25569:10939	0	0	0	16	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	1
M01896:2:000000000-A69JN:1:2104:11957:6559	0	0	0	3	0	0	0	0	0	5	0	0	5	1	0	1	0	0	0	1
M01896:2:000000000-A69JN:1:2115:5468:11757	0	0	0	2	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:1111:9385:12610	0	0	0	2	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:2103:9295:17084	0	0	0	2	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:2102:6393:16406	0	0	0	2	0	0	0	0	0	2	0	0	3	2	0	0	0	0	0	1
M01896:2:000000000-A69JN:1:1118:7485:20110	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:2103:16572:20990	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:2112:15613:10848	0	0	0	2	0	1	0	0	0	2	0	0	3	1	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:1103:8461:11857	0	0	0	2	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0
M01896:2:000000000-A69JN:1:2105:27131:7723	0	0	0	2	0	0	0	0	0	2	0	0	3	2	1	0	0	0	0	0
M00595:54:000000000-A7CT0:1:1105:12078:17535	0	0	0	0	1	0	0	0	0	0	0	0	1	5	6	3	0	0	0	0
